transactionHash,if_is_anomaly,ae_is_anomaly,fusion_union_anom,fusion_intersection_anom,fusion_ensemble_anom,if_anom_score,ae_anom_score,fusion_score
0x1dc89006065dd8d752f374722b12badd4b4ee6b9666d2642a015167295140cc8,False,False,False,False,False,0.507422687314738,0.0002736397359602359,0.25384816352534917
0xcf03831658d3b2084cdc1149f57aa6f13298e6ab1ba15dc5040bb30733f8654d,False,False,False,False,False,0.07262106603907188,3.3213162402507744e-05,0.0363271396007372
0xf721ef884a08332139876dd3e0b50cde1ecd61250906b00c22b1edb8dabbf7a1,False,False,False,False,False,0.08524279411877125,8.264572145047665e-05,0.042662719920110864
0x4f72251f16ec57b6f497a4eec9f77e3731f52a2f66d8d2b30c99ee608f7001db,False,False,False,False,False,0.45459135185415966,0.00020777671233757202,0.22739956428324862
0x9bef805f5f7974ed226c3f2a25a9c0544217132a8d3d3e8b0b3dba2efc819bd2,False,False,False,False,False,0.0684879923138323,2.1932681344101015e-05,0.0342549624975882
0x32e056bfa71389f067dbe2fca552a4ee696f833d45330e99c77153573f9a3a9a,False,False,False,False,False,0.055461753324759,6.371318245310385e-05,0.02776273325360605
0xa163053ce9539cb15cd23068b2a0d23ddf662da2543a9440520fddbb434f88ba,False,False,False,False,False,0.07191151856565511,0.00010913681123422974,0.03601032768844467
0x5968ae2dc36c23ee9f681ea2f0fa16e7edc55a830668755ea23ef90e626c257a,False,False,False,False,False,0.08198701957980058,5.326620108664456e-05,0.04102014289044361
0xe9c57da0327fe47665dd0be782030faff674436f0d96ecfdead4acba449e7ecc,False,False,False,False,False,0.053990519184012896,4.3357495213488446e-05,0.027016938339613192
0x5d70fc4fd264d8e0071d64d444b4906a4949e7a63e7a6f815f9ed27f93b0b638,False,False,False,False,False,0.05608091143852065,2.0672906102639827e-05,0.028050792172311642
0xb8b58f9e2c1de2e0e8403dc0d4fc8e25b6b526f60828da6657dc3ee46e46ac29,False,False,False,False,False,0.05292926502065834,4.783256092198874e-05,0.026488548790790163
0x89a1ac6b54792e45a2662dc3262bf6824f924b0752218f544e41afca885b31ad,False,False,False,False,False,0.06590655437822986,4.1818462469337455e-05,0.0329741864203496
0x22205d41579d4c83772e1829e0093faa3b4d878d7685533fd10fe2bf9103ba36,False,False,False,False,False,0.14531225425283023,0.00017146791716419183,0.07274186108499721
0x4a9b840f618dfc08bcd3f6ee41e3fbe7ec6add37d55bd7fde625af267b23a96e,False,False,False,False,False,0.2070341992184155,0.0006602729835055373,0.10384723610096053
0xe0608f3cf95f967685813c6aacac344583ad2f8c47411dd410a37dab0027cb17,False,False,False,False,False,0.061796999147531874,7.865199682008614e-05,0.03093782557217598
0x37f9d7d5e3be12363e1fa508d065864b11c1e6141e49a1b054dba536b268f1a3,False,False,False,False,False,0.25747162606279467,9.07259658903812e-05,0.12878117601434252
0xd6e7f7a8c4fb94154bddb7b6aceb2a4b4f448c8dff331817edbddefd7ccabd0a,False,False,False,False,False,0.10822919787291803,0.00018493951750063887,0.05420706869520933
0x9d8c832cbb7a8851e1c388f95699905743aebfa2b0805344df6de13c5568f99b,False,False,False,False,False,0.06449473600237558,3.122279167072088e-05,0.032262979397023155
